"Name","Allegiances","Death Year","Book of Death","Death Chapter","Book Intro Chapter","Gender","Nobility","GoT","CoK","SoS","FfC","DwD"
"Aegon Frey (Jinglebell)","None","299","3","51","49","1","1","0","0","1","0","0"
"Adrack Humble","House Greyjoy","300","5","20","20","1","1","0","0","0","0","1"
"Aemon Targaryen (son of Maekar I)","Night's Watch","300","4","35","21","1","1","1","0","1","1","0"
"Aenys Frey","None","300","5","","59","0","1","1","1","1","0","1"
"Aggar","House Greyjoy","299","2","56","50","1","0","0","1","0","0","0"
"Alan of Rosby","Night's Watch","300","5","4","18","1","1","0","1","1","0","1"
"Alebelly","House Stark","299","2","46","4","1","0","0","1","0","0","0"
"Alester Florent","Baratheon","300","4","","36","1","1","0","1","1","0","0"
"Allard Seaworth","Baratheon","299","2","10","10","1","1","0","1","0","0","0"
"Alyn","House Stark","298","3","34","12","1","0","1","0","0","0","0"
"Amory Lorch","House Lannister","299","2","47","14","1","1","0","1","0","0","0"
"Anvil Ryn","None","299","3","34","34","1","0","0","0","1","0","0"
"Aron Santagar","Lannister","299","2","41","18","1","1","1","1","0","0","0"
"Arys Oakheart","Lannister","300","4","21","57","1","1","1","1","0","1","0"
"Bannen","Night's Watch","299","3","33","0","1","0","0","0","1","0","0"
"Barra","None","299","2","39","35","0","0","1","0","0","0","0"
"Barsena","None","300","5","52","11","0","0","0","0","0","0","1"
"Becca the Baker","None","299","3","34","34","0","0","0","0","1","0","0"
"Benfred Tallhart","Stark","299","2","37","16","1","1","0","1","0","0","0"
"Benfrey Frey","None","299","5","51","51","1","1","0","0","1","0","0"
"Benjen Stark","Night's Watch","298","1","24","5","1","1","1","0","0","0","0"
"Bennet","None","300","4","31","31","1","0","0","0","0","1","0"
"Beric Dondarrion","None","300","4","27","42","1","1","1","0","1","0","0"
"Biter","None","300","4","37","1","1","0","0","1","0","1","0"
"Brown Bernarr","Night's Watch","299","3","33","23","1","0","0","1","1","0","0"
"Bryan Fossoway","Baratheon","299","2","62","42","1","1","1","1","0","0","0"
"Bryce Caron","Baratheon","299","2","65","29","1","1","1","1","0","0","0"
"Bryen Farring","Baratheon","300","5","62","10","1","1","0","1","0","0","1"
"Burton Crakehall","Lannister","299","2","7","55","1","1","1","1","0","0","0"
"Byam Flint","Night's Watch","299","3","33","33","1","0","0","0","1","0","0"
"Catelyn Tully","House Stark","299","3","51","2","0","1","1","1","1","0","0"
"Cayn","House Stark","298","1","49","4","1","0","1","0","0","0","0"
"Chayle","Stark","299","2","50","9","1","0","1","1","0","0","0"
"Chett","Night's Watch","299","3","46","41","1","0","1","1","1","0","0"
"Chiggen","Lannister","298","1","42","31","1","0","1","0","0","0","0"
"Chiswyck","None","299","2","30","26","1","0","0","1","0","0","0"
"Cleos Frey","None","299","3","21","7","1","1","0","1","1","0","0"
"Cley Cerwyn","Stark","299","2","66","16","1","1","0","1","0","0","0"
"Clubfoot Karl","Night's Watch","300","5","4","0","1","0","0","0","1","0","1"
"Cohollo","None","298","1","64","11","1","0","1","0","0","0","0"
"Conn","Lannister","298","1","62","42","1","0","1","0","0","0","0"
"Cortnay Penrose","Baratheon","299","2","42","31","1","1","0","1","0","0","0"
"Cragorn","House Greyjoy","300","4","29","19","1","0","0","0","0","1","0"
"Craster","None","299","3","33","23","1","0","0","1","1","0","0"
"Cressen","Baratheon","299","1","0","0","1","0","0","1","0","0","0"
"Dacey Mormont","Stark","299","3","51","63","0","1","1","0","1","0","0"
"Dagon Codd","Greyjoy","300","5","20","20","1","1","0","0","0","0","1"
"Dalbridge","Night's Watch","299","2","53","43","1","0","0","1","0","0","0"
"Dale Seaworth","Baratheon","299","2","58","10","1","1","0","1","0","0","0"
"Dalla","Wildling","300","3","76","73","0","1","0","0","1","0","0"
"Dareon","Night's Watch","300","4","34","19","1","0","1","0","0","1","0"
"Daryn Hornwood","Stark","298","1","63","63","1","1","1","0","0","0","0"
"Del","Wildling","299","3","41","41","1","0","0","0","1","0","0"
"Delp","House Tully","299","3","20","39","1","0","0","1","1","0","0"
"Desmond","House Stark","298","1","50","1","1","0","1","0","0","0","0"
"Dick Crabb","None","300","4","20","9","1","0","0","0","0","1","0"
"Dick Follard","Night's Watch","299","3","55","41","1","0","0","0","1","0","0"
"Dirk","Night's Watch","300","5","4","0","1","0","0","0","1","0","1"
"Dobber","None","299","2","14","5","1","0","0","1","0","0","0"
"Donal Noye","Night's Watch","300","3","64","19","1","0","1","1","1","0","0"
"Donella Hornwood","Stark","299","2","35","16","0","1","0","1","0","0","0"
"Donnel Locke","Stark","299","3","51","25","1","1","0","1","1","0","0"
"Dontos Hollard","None","300","3","61","57","1","1","1","1","1","0","0"
"Doreah","House Targaryen","299","2","12","11","0","0","1","1","0","0","0"
"Dornish Dilly","Night's Watch","299","3","55","55","1","0","0","0","1","0","0"
"Drennan","House Greyjoy","299","2","50","50","1","0","0","1","0","0","0"
"Drogo","Targaryen","298","1","64","3","1","1","1","0","0","0","0"
"Dudley","Stark","299","3","34","34","1","0","0","0","1","0","0"
"Dykk Harlaw","Greyjoy","299","2","66","66","1","0","0","1","0","0","0"
"Easy","Night's Watch","300","3","55","55","1","0","0","0","1","0","0"
"Ebben","Night's Watch","299","2","68","43","1","0","0","1","0","0","0"
"Eddard Karstark","Stark","298","1","63","53","1","1","1","0","0","0","0"
"Eddard Stark","House Stark","299","1","65","1","1","1","1","0","0","0","0"
"Emmon Cuy","Baratheon","299","2","42","33","1","1","0","1","0","0","0"
"Elwood","House Tully","299","3","20","20","1","0","0","0","1","0","0"
"Endrew Tarth","Night's Watch","299","3","69","60","1","0","1","0","1","0","0"
"Eon Hunter","Arryn","300","3","80","38","1","1","1","0","1","0","0"
"Eroeh","Targaryen","298","1","68","61","1","0","1","0","0","0","0"
"Falyse Stokeworth","Lannister","300","5","36","2","0","1","0","1","0","1","0"
"Farlen","House Stark","299","2","56","46","1","0","0","1","0","0","0"
"Fletcher Will","None","299","3","34","34","1","0","0","0","1","0","0"
"Fogo","None","298","1","61","46","1","1","1","0","0","0","0"
"Frenya","Wildling","300","5","69","37","0","0","0","0","0","0","1"
"Gared","Night's Watch","297","1","1","0","1","0","1","0","0","0","0"
"Garse Goodbrook","None","299","3","","","1","1","0","0","1","0","0"
"Garth Greyfeather","Night's Watch","300","5","31","48","1","0","0","0","1","0","1"
"Garth of Greenaway","Night's Watch","300","5","4","33","1","0","0","0","1","0","1"
"Garth of Oldtown","Night's Watch","299","3","33","33","1","0","0","0","1","0","0"
"Gelmarr","House Greyjoy","299","2","56","50","1","0","0","1","0","0","0"
"Gerren","None","299","2","19","14","1","0","0","1","0","0","0"
"Gevin Harlaw","Greyjoy","299","2","66","37","1","1","0","1","0","0","0"
"Gladden Wylde","Stark","298","1","55","43","1","1","1","0","0","0","0"
"Grazdan","None","299","3","27","27","1","1","0","0","1","0","0"
"Grazdan mo Ullhor","None","299","3","27","27","1","1","0","0","1","0","0"
"Gregor Clegane","Lannister","300","4","72","29","1","1","1","1","1","0","0"
"Groleo","House Targaryen","300","5","59","","1","0","0","0","1","0","1"
"Grubbs","Night's Watch","300","5","4","0","1","0","0","0","1","0","1"
"Guncer Sunglass","Baratheon","299","3","10","0","1","1","0","1","1","0","0"
"Guyard Morrigen","Baratheon","299","2","62","22","1","1","0","1","0","0","0"
"Gyles Rosby","Lannister","300","4","39","57","1","1","1","1","1","1","0"
"Gynir","House Greyjoy","299","2","56","50","1","0","0","1","0","0","0"
"Haggo","None","298","1","64","11","1","0","1","0","0","0","0"
"Hairy Hal","Night's Watch","300","5","31","55","1","0","0","0","1","1","1"
"Hake","Night's Watch","299","3","46","52","1","0","1","1","1","0","0"
"Hali","Wildling","298","1","37","37","0","0","1","0","0","0","0"
"Halys Hornwood","Stark","298","1","62","53","1","1","1","0","0","0","0"
"Hamish the Harper","None","300","5","43","32","1","0","0","0","1","1","0"
"Harghaz","None","300","5","70","52","1","0","0","0","0","0","1"
"Harma","Wildling","300","3","75","0","0","1","0","0","1","0","0"
"Harra","None","299","2","64","26","0","0","0","1","0","0","0"
"Harrag Sharp","Greyjoy","299","5","19","66","1","1","0","1","0","1","0"
"Harwood Fell","House Baratheon","300","5","42","17","1","1","0","0","0","0","1"
